"county","region","year","quarter","month","yearandmonth","homicide_conv","offences_against_the_person_conv","sexual_offences_conv","burglary_conv","robbery_conv","theft_and_handling_conv","fraud_and_forgery_conv","criminal_damage_conv","drugs_offences_conv","public_order_offences_conv","all_other_offences__excluding_motoring__conv","motoring_offences_conv"
"National","All","2014","Q1 2014","jan",2014-01-01,51,9087,736,1715,522,11057,846,2693,4988,4752,3291,12945
"Avon and Somerset","West","2014","Q1 2014","jan",2014-01-01,0,228,35,49,8,338,18,93,148,123,63,256
"Bedfordshire","East","2014","Q1 2014","jan",2014-01-01,0,68,2,7,16,75,17,22,31,30,13,171
"Cambridgeshire","East","2014","Q1 2014","jan",2014-01-01,0,101,10,18,6,148,10,30,47,37,28,103
"Cheshire","North","2014","Q1 2014","jan",2014-01-01,0,170,15,38,10,205,14,39,64,77,50,264
"Cleveland","North","2014","Q1 2014","jan",2014-01-01,2,119,11,36,3,334,11,46,65,123,34,228
"Cumbria","North","2014","Q1 2014","jan",2014-01-01,0,113,4,16,1,115,6,38,52,78,52,112
"Derbyshire","East","2014","Q1 2014","jan",2014-01-01,0,135,22,36,5,194,15,53,86,59,28,251
"Devon and Cornwall","West","2014","Q1 2014","jan",2014-01-01,0,220,16,25,10,199,18,74,96,83,75,410
"Dorset","West","2014","Q1 2014","jan",2014-01-01,0,87,6,20,6,96,4,30,47,42,61,112
"Durham","North","2014","Q1 2014","jan",2014-01-01,1,105,9,28,0,171,20,42,38,82,12,130
"Dyfed Powys","West","2014","Q1 2014","jan",2014-01-01,0,69,4,8,3,79,4,30,82,81,19,274
"Essex","East","2014","Q1 2014","jan",2014-01-01,3,331,11,42,7,327,31,101,111,135,83,215
"Gloucestershire","West","2014","Q1 2014","jan",2014-01-01,0,71,4,20,3,89,9,14,31,25,5,97
"GreaterManchester","North","2014","Q1 2014","jan",2014-01-01,2,478,52,94,34,495,39,143,200,297,179,772
"Gwent","West","2014","Q1 2014","jan",2014-01-01,0,85,5,11,2,129,5,38,48,74,21,106
"Hampshire","South","2014","Q1 2014","jan",2014-01-01,0,303,19,34,4,317,25,78,187,115,162,245
"Hertfordshire","East","2014","Q1 2014","jan",2014-01-01,3,113,8,20,4,149,13,27,70,53,28,153
"Humberside","North","2014","Q1 2014","jan",2014-01-01,0,217,16,29,7,271,16,79,82,128,47,390
"Kent","South","2014","Q1 2014","jan",2014-01-01,0,230,19,59,10,356,21,87,85,38,200,142
"Lancashire","North","2014","Q1 2014","jan",2014-01-01,4,337,29,83,24,383,20,114,101,223,104,300
"Leicestershire","East","2014","Q1 2014","jan",2014-01-01,2,142,15,13,4,155,12,23,34,50,32,307
"Lincolnshire","East","2014","Q1 2014","jan",2014-01-01,1,117,5,14,2,128,3,26,28,71,8,155
"Merseyside","North","2014","Q1 2014","jan",2014-01-01,2,236,27,39,21,264,21,65,279,128,148,391
"Metropolitan and City","South","2014","Q1 2014","jan",2014-01-01,13,1306,108,266,147,1388,231,312,1228,779,527,1889
"Norfolk","East","2014","Q1 2014","jan",2014-01-01,0,193,15,16,3,190,15,41,60,83,65,135
"Northamptonshire","East","2014","Q1 2014","jan",2014-01-01,0,106,6,16,4,128,5,22,35,29,11,214
"Northumbria","North","2014","Q1 2014","jan",2014-01-01,3,240,30,74,13,526,31,105,115,148,280,503
"North Wales","North","2014","Q1 2014","jan",2014-01-01,1,118,10,26,2,165,7,45,57,75,118,268
"North Yorkshire","Nortth","2014","Q1 2014","jan",2014-01-01,0,98,8,18,1,171,8,39,48,100,28,137
"Nottinghamshire","East","2014","Q1 2014","jan",2014-01-01,0,179,14,43,22,247,17,55,78,75,67,189
"South Wales","West","2014","Q1 2014","jan",2014-01-01,0,362,7,49,4,359,19,124,161,243,70,735
"South Yorkshire","North","2014","Q1 2014","jan",2014-01-01,2,229,18,51,10,409,13,80,140,164,44,362
"Staffordshire","West","2014","Q1 2014","jan",2014-01-01,2,165,10,28,18,201,12,53,84,97,23,646
"Suffolk","East","2014","Q1 2014","jan",2014-01-01,1,165,4,18,2,111,8,33,66,75,33,79
"Surrey","South","2014","Q1 2014","jan",2014-01-01,0,139,7,30,1,114,11,24,79,66,74,201
"Sussex","South","2014","Q1 2014","jan",2014-01-01,0,266,21,40,8,290,18,73,115,113,82,239
"Thames Valley","South","2014","Q1 2014","jan",2014-01-01,4,276,24,41,13,336,24,59,147,117,47,429
"Warwickshire","West","2014","Q1 2014","jan",2014-01-01,0,42,2,17,0,58,2,15,21,28,22,227
"West Mercia","West","2014","Q1 2014","jan",2014-01-01,0,162,10,35,4,172,10,40,68,99,25,256
"West Midlands","West","2014","Q1 2014","jan",2014-01-01,1,419,45,97,49,559,31,133,247,135,201,394
"West Yorkshire","North","2014","Q1 2014","jan",2014-01-01,3,480,44,96,31,531,27,111,198,147,68,363
"Wiltshire","West","2014","Q1 2014","jan",2014-01-01,1,67,9,15,0,85,5,37,29,27,54,95
"National","All","2014","Q1 2014","feb",2014-02-01,61,8366,712,1549,541,10150,758,2455,4565,3787,3208,12078
"Avon and Somerset","West","2014","Q1 2014","feb",2014-02-01,0,263,41,39,7,320,12,76,140,131,55,191
"Bedfordshire","East","2014","Q1 2014","feb",2014-02-01,0,59,6,11,7,84,7,12,19,7,11,36
