"county","region","year","quarter","month","yearandmonth","homicide_unsuc","offences_against_the_person_unsuc","sexual_offences_unsuc","burglary_unsuc","robbery_unsuc","theft_and_handling_unsuc","fraud_and_forgery_unsuc","criminal_damage_unsuc","drugs_offences_unsuc","public_order_offences_unsuc","all_other_offences__excluding_motoring__unsuc","motoring_offences_unsuc","admin_finalised_unsuc"
"National","All","2014","Q1 2014","jan",2014-01-01,11,2930,286,284,139,998,137,472,305,797,586,1466,890
"Avon and Somerset","West","2014","Q1 2014","jan",2014-01-01,0,62,17,1,0,32,0,14,4,28,9,40,20
"Bedfordshire","East","2014","Q1 2014","jan",2014-01-01,1,29,1,4,7,4,3,8,3,9,2,13,12
"Cambridgeshire","East","2014","Q1 2014","jan",2014-01-01,0,21,3,4,4,15,4,3,1,2,9,16,14
"Cheshire","North","2014","Q1 2014","jan",2014-01-01,0,40,1,5,0,5,1,3,3,8,5,16,13
"Cleveland","North","2014","Q1 2014","jan",2014-01-01,3,44,6,2,2,31,3,13,2,27,14,16,3
"Cumbria","North","2014","Q1 2014","jan",2014-01-01,0,13,3,0,0,7,0,3,1,2,5,7,12
"Derbyshire","East","2014","Q1 2014","jan",2014-01-01,1,58,7,4,2,17,0,12,9,15,12,9,13
"Devon and Cornwall","West","2014","Q1 2014","jan",2014-01-01,0,64,3,4,0,23,2,9,5,11,14,31,10
"Dorset","West","2014","Q1 2014","jan",2014-01-01,0,29,7,1,0,5,0,4,5,8,14,15,7
"Durham","North","2014","Q1 2014","jan",2014-01-01,0,29,3,4,0,20,2,10,1,9,5,9,2
"Dyfed Powys","West","2014","Q1 2014","jan",2014-01-01,0,15,3,1,3,8,0,2,5,7,1,17,2
"Essex","East","2014","Q1 2014","jan",2014-01-01,0,91,6,14,2,25,2,12,4,8,8,42,14
"Gloucestershire","West","2014","Q1 2014","jan",2014-01-01,0,15,1,1,1,0,1,4,2,1,1,7,7
"GreaterManchester","North","2014","Q1 2014","jan",2014-01-01,1,126,20,10,3,35,6,26,12,37,21,53,32
"Gwent","West","2014","Q1 2014","jan",2014-01-01,0,34,0,2,2,13,0,4,4,11,4,31,7
"Hampshire","South","2014","Q1 2014","jan",2014-01-01,0,83,17,15,3,41,10,24,8,25,29,36,19
"Hertfordshire","East","2014","Q1 2014","jan",2014-01-01,0,33,6,4,0,24,3,6,6,8,6,29,16
"Humberside","North","2014","Q1 2014","jan",2014-01-01,1,45,5,5,0,25,3,5,4,10,3,21,10
"Kent","South","2014","Q1 2014","jan",2014-01-01,0,89,4,3,1,34,5,23,4,8,27,22,30
"Lancashire","North","2014","Q1 2014","jan",2014-01-01,0,101,5,9,0,23,1,13,2,31,21,39,33
"Leicestershire","East","2014","Q1 2014","jan",2014-01-01,1,28,6,5,1,9,2,5,2,10,3,11,18
"Lincolnshire","East","2014","Q1 2014","jan",2014-01-01,0,21,2,1,0,14,0,3,1,5,10,27,10
"Merseyside","North","2014","Q1 2014","jan",2014-01-01,1,83,8,9,3,17,1,7,25,22,13,32,22
"Metropolitan and City","South","2014","Q1 2014","jan",2014-01-01,0,549,63,62,59,182,40,62,64,170,106,405,261
"Norfolk","East","2014","Q1 2014","jan",2014-01-01,0,42,0,0,0,14,3,5,3,10,8,11,15
"Northamptonshire","East","2014","Q1 2014","jan",2014-01-01,0,26,0,6,3,15,0,9,4,8,2,7,9
"Northumbria","North","2014","Q1 2014","jan",2014-01-01,0,80,10,11,2,42,2,23,19,27,60,53,17
"North Wales","North","2014","Q1 2014","jan",2014-01-01,0,34,4,2,0,9,1,5,0,11,7,14,7
"North Yorkshire","Nortth","2014","Q1 2014","jan",2014-01-01,0,43,0,1,2,13,4,8,7,10,2,13,3
"Nottinghamshire","East","2014","Q1 2014","jan",2014-01-01,0,73,3,2,1,22,0,7,4,16,14,25,17
"South Wales","West","2014","Q1 2014","jan",2014-01-01,0,111,7,8,0,10,3,12,6,41,12,94,17
"South Yorkshire","North","2014","Q1 2014","jan",2014-01-01,1,58,2,8,1,30,1,12,10,17,10,17,11
"Staffordshire","West","2014","Q1 2014","jan",2014-01-01,0,51,5,5,5,27,2,8,8,21,3,31,11
